epoch,loss,accuracy,val_loss,val_accuracy
1,1.0881295837517226,0.8585333333333334,0.5300836181154572,0.8654
2,0.4554478581069394,0.8907166666666667,0.37173804743606986,0.8963
3,0.36428578454361704,0.9043166666666667,0.3196966113809583,0.9103
4,0.3244624127168268,0.9118,0.2930539511874578,0.9166
5,0.29929050199717117,0.91745,0.27388888476969,0.923
6,0.2802155002262717,0.9230833333333334,0.25834802284521874,0.9254
7,0.26487233330042154,0.9269,0.2470661857274171,0.9288
8,0.2516133362494025,0.9304166666666667,0.2347131720071101,0.9337
9,0.2400938158701409,0.9340333333333334,0.22597875052366903,0.9351
10,0.2291511640268138,0.9368833333333333,0.21677393031463862,0.9371
11,0.22007758446230122,0.9387666666666666,0.2118602329507018,0.9391
12,0.21154253831795372,0.9410166666666666,0.2008726911077261,0.9416
13,0.20336487704977022,0.9439333333333333,0.1957783508269573,0.9443
14,0.19604060515197974,0.9458,0.1875679459632219,0.9457
15,0.1890517254733948,0.9479666666666666,0.18226567372662789,0.9469
16,0.18271121884986663,0.94915,0.18011261295846698,0.9491
17,0.1768697634320704,0.951,0.17199649018467306,0.9512
18,0.17125507049840286,0.9523166666666667,0.16765829753644537,0.951
19,0.16605335358791642,0.95415,0.16359058458026432,0.9524
20,0.1610258275478654,0.9558666666666666,0.1596220590043652,0.9529
21,0.1565420662685073,0.9572333333333334,0.15552739178317915,0.9557
22,0.1519247676553596,0.95785,0.1532008270845198,0.9551
23,0.14756570589095575,0.9589,0.1492764661619791,0.9563
24,0.14389044284511368,0.96055,0.14518133160598326,0.9578
25,0.14018299098176304,0.9612166666666667,0.14252868143344957,0.9579
26,0.13661786571658233,0.9628833333333333,0.13921565787431386,0.9591
27,0.13307284745727588,0.9633833333333334,0.1368919680531524,0.9603
28,0.1299734779319686,0.9642,0.13309145104564712,0.9613
29,0.12675049535904642,0.9652333333333334,0.1318582419707572,0.9615
30,0.12389370167678886,0.96585,0.1292134015421512,0.9614
31,0.12086898435639452,0.9664666666666667,0.1262593333040206,0.9635
32,0.11822654849076894,0.9673833333333334,0.12421170929453808,0.9643
33,0.11563334099761026,0.9683166666666667,0.12265415113519716,0.9635
34,0.11285214394405324,0.96885,0.12109071492967657,0.9644
35,0.11061926585555473,0.9694333333333334,0.11834431877056763,0.9656
36,0.10819657628596964,0.9702166666666666,0.11647190589149338,0.9663
37,0.10592653459650658,0.9705833333333334,0.11485022703373754,0.9653
38,0.10382756133774992,0.9713666666666667,0.11405734464417383,0.9661
39,0.10175092768478697,0.9721166666666666,0.11300156710595748,0.9665
40,0.09968648077777434,0.9725,0.11061107023763209,0.9676
41,0.09775631945807678,0.9729833333333333,0.11031173407077301,0.967
42,0.09550798050789286,0.9737833333333333,0.10783181365025125,0.9683
43,0.09400860339148963,0.9739666666666666,0.10619844591923616,0.9681
44,0.09218431534202916,0.9746666666666667,0.1053074315921506,0.9689
45,0.09039679697301518,0.9750833333333333,0.10542531811049514,0.9683
46,0.08871184408772137,0.9755666666666667,0.1026114150320364,0.9696
47,0.08704336377218139,0.9761166666666666,0.10229730172829327,0.9699
48,0.08552463693300577,0.97625,0.10143550223441644,0.9691
49,0.08397748927367102,0.9768666666666667,0.10014538628228717,0.9702
50,0.08256145621472408,0.9773,0.10047169545659027,0.9698
51,0.08114436825009565,0.97765,0.0985970192592954,0.9699
52,0.07985349409232533,0.9784333333333334,0.09711173161677958,0.9704
53,0.07837730417000698,0.9786,0.09836101359749098,0.9703
54,0.0771553574316414,0.9791,0.09597945993253318,0.9705
55,0.07566342349821087,0.9791333333333333,0.09554251366734641,0.971
56,0.07458203562822743,0.9800166666666666,0.09367539296453245,0.9712
57,0.07332470031940477,0.9804,0.09366453736992912,0.9713
58,0.07222334997295804,0.9806666666666667,0.09267265192466717,0.9712
59,0.0710074339539268,0.9811166666666666,0.09171687012519723,0.9712
60,0.06987112214282305,0.9813333333333333,0.09202520684781729,0.9717
61,0.06858945386264469,0.9814833333333334,0.09044557149367768,0.971
62,0.06758818349207399,0.98215,0.09097933010441013,0.9714
63,0.06644245206735115,0.9824833333333334,0.08965319268338794,0.972
64,0.06566178127195618,0.98275,0.08873235356865393,0.9715
